Tick 100: Plants: 1655, Herbivores: 336, Carnivores: 146
Tick 101: Plants: 1801, Herbivores: 393, Carnivores: 155
Tick 102: Plants: 1751, Herbivores: 392, Carnivores: 157
Tick 103: Plants: 1685, Herbivores: 412, Carnivores: 154
Tick 104: Plants: 1747, Herbivores: 381, Carnivores: 161
Tick 105: Plants: 1646, Herbivores: 423, Carnivores: 172
Tick 106: Plants: 1737, Herbivores: 415, Carnivores: 192
Tick 107: Plants: 1518, Herbivores: 456, Carnivores: 190
Tick 108: Plants: 1508, Herbivores: 409, Carnivores: 205
Tick 109: Plants: 1468, Herbivores: 433, Carnivores: 217
Tick 110: Plants: 1494, Herbivores: 473, Carnivores: 222
Tick 111: Plants: 1451, Herbivores: 484, Carnivores: 234
Tick 112: Plants: 1583, Herbivores: 535, Carnivores: 233
Tick 113: Plants: 1487, Herbivores: 509, Carnivores: 234
Tick 114: Plants: 1468, Herbivores: 507, Carnivores: 255
Tick 115: Plants: 1387, Herbivores: 489, Carnivores: 263
Tick 116: Plants: 1369, Herbivores: 506, Carnivores: 275
Tick 117: Plants: 1528, Herbivores: 569, Carnivores: 280
Tick 118: Plants: 1419, Herbivores: 515, Carnivores: 321
Tick 119: Plants: 1313, Herbivores: 548, Carnivores: 321
Tick 120: Plants: 1312, Herbivores: 527, Carnivores: 316
Tick 121: Plants: 1287, Herbivores: 549, Carnivores: 339
Tick 122: Plants: 1227, Herbivores: 515, Carnivores: 345
Tick 123: Plants: 1290, Herbivores: 543, Carnivores: 370
Tick 124: Plants: 1298, Herbivores: 523, Carnivores: 387
Tick 125: Plants: 1377, Herbivores: 565, Carnivores: 383
Tick 126: Plants: 1267, Herbivores: 524, Carnivores: 389
Tick 127: Plants: 1210, Herbivores: 565, Carnivores: 403
Tick 128: Plants: 1283, Herbivores: 592, Carnivores: 407
Tick 129: Plants: 1206, Herbivores: 575, Carnivores: 401
Tick 130: Plants: 1144, Herbivores: 569, Carnivores: 420
Tick 131: Plants: 1147, Herbivores: 539, Carnivores: 428
Tick 132: Plants: 1108, Herbivores: 539, Carnivores: 449
Tick 133: Plants: 1088, Herbivores: 557, Carnivores: 430
Tick 134: Plants: 1107, Herbivores: 556, Carnivores: 417
Tick 135: Plants: 1094, Herbivores: 540, Carnivores: 449
Tick 136: Plants: 998, Herbivores: 546, Carnivores: 445
Tick 137: Plants: 1041, Herbivores: 576, Carnivores: 449
Tick 138: Plants: 1680, Herbivores: 793, Carnivores: 507
Tick 139: Plants: 1349, Herbivores: 692, Carnivores: 494
Tick 140: Plants: 1189, Herbivores: 615, Carnivores: 501
Tick 141: Plants: 1138, Herbivores: 653, Carnivores: 476
Tick 142: Plants: 1060, Herbivores: 644, Carnivores: 498
Tick 143: Plants: 1029, Herbivores: 587, Carnivores: 476
Tick 144: Plants: 1028, Herbivores: 627, Carnivores: 503
Tick 145: Plants: 1017, Herbivores: 630, Carnivores: 515
Tick 146: Plants: 945, Herbivores: 603, Carnivores: 521
Tick 147: Plants: 898, Herbivores: 539, Carnivores: 508
Tick 148: Plants: 940, Herbivores: 564, Carnivores: 517
Tick 149: Plants: 890, Herbivores: 597, Carnivores: 519
Tick 150: Plants: 964, Herbivores: 614, Carnivores: 519
Tick 151: Plants: 900, Herbivores: 552, Carnivores: 500
Tick 152: Plants: 934, Herbivores: 573, Carnivores: 517
Tick 153: Plants: 978, Herbivores: 616, Carnivores: 518
Tick 154: Plants: 988, Herbivores: 627, Carnivores: 526
Tick 155: Plants: 906, Herbivores: 615, Carnivores: 512
Tick 156: Plants: 935, Herbivores: 573, Carnivores: 485
Tick 157: Plants: 897, Herbivores: 570, Carnivores: 498
Tick 158: Plants: 942, Herbivores: 626, Carnivores: 495
Tick 159: Plants: 888, Herbivores: 575, Carnivores: 490
Tick 160: Plants: 920, Herbivores: 565, Carnivores: 471
Tick 161: Plants: 893, Herbivores: 547, Carnivores: 459
Tick 162: Plants: 915, Herbivores: 543, Carnivores: 473
Tick 163: Plants: 893, Herbivores: 554, Carnivores: 479
Tick 164: Plants: 883, Herbivores: 557, Carnivores: 465
Tick 165: Plants: 926, Herbivores: 538, Carnivores: 470
Tick 166: Plants: 941, Herbivores: 588, Carnivores: 481
Tick 167: Plants: 966, Herbivores: 568, Carnivores: 471
Tick 168: Plants: 842, Herbivores: 550, Carnivores: 472
Tick 169: Plants: 899, Herbivores: 525, Carnivores: 456
Tick 170: Plants: 890, Herbivores: 496, Carnivores: 467
Tick 171: Plants: 938, Herbivores: 504, Carnivores: 444
Tick 172: Plants: 931, Herbivores: 502, Carnivores: 419
Tick 173: Plants: 903, Herbivores: 500, Carnivores: 412
Tick 174: Plants: 1009, Herbivores: 518, Carnivores: 399
Tick 175: Plants: 921, Herbivores: 515, Carnivores: 400
Tick 176: Plants: 896, Herbivores: 496, Carnivores: 394
Tick 177: Plants: 858, Herbivores: 470, Carnivores: 386
Tick 178: Plants: 1115, Herbivores: 511, Carnivores: 375
Tick 179: Plants: 830, Herbivores: 483, Carnivores: 370
Tick 180: Plants: 885, Herbivores: 455, Carnivores: 340
Tick 181: Plants: 861, Herbivores: 472, Carnivores: 345
Tick 182: Plants: 914, Herbivores: 440, Carnivores: 320
Tick 183: Plants: 831, Herbivores: 425, Carnivores: 323
Tick 184: Plants: 821, Herbivores: 460, Carnivores: 302
Tick 185: Plants: 863, Herbivores: 456, Carnivores: 309
Tick 186: Plants: 827, Herbivores: 413, Carnivores: 305
Tick 187: Plants: 918, Herbivores: 422, Carnivores: 300
Tick 188: Plants: 860, Herbivores: 429, Carnivores: 304
Tick 189: Plants: 884, Herbivores: 454, Carnivores: 287
Tick 190: Plants: 853, Herbivores: 443, Carnivores: 295
Tick 191: Plants: 827, Herbivores: 419, Carnivores: 304
Tick 192: Plants: 845, Herbivores: 452, Carnivores: 300
Tick 193: Plants: 799, Herbivores: 448, Carnivores: 293
Tick 194: Plants: 798, Herbivores: 435, Carnivores: 298
Tick 195: Plants: 858, Herbivores: 445, Carnivores: 297
Tick 196: Plants: 903, Herbivores: 463, Carnivores: 293
Tick 197: Plants: 913, Herbivores: 481, Carnivores: 273
Tick 198: Plants: 935, Herbivores: 522, Carnivores: 287
Tick 199: Plants: 992, Herbivores: 515, Carnivores: 294
Tick 200: Plants: 867, Herbivores: 484, Carnivores: 263
Tick 201: Plants: 891, Herbivores: 484, Carnivores: 276
Tick 202: Plants: 960, Herbivores: 538, Carnivores: 278
Tick 203: Plants: 883, Herbivores: 488, Carnivores: 263
Tick 204: Plants: 980, Herbivores: 402, Carnivores: 276
Tick 205: Plants: 1032, Herbivores: 546, Carnivores: 282
Tick 206: Plants: 897, Herbivores: 492, Carnivores: 279
Tick 207: Plants: 888, Herbivores: 492, Carnivores: 278
Tick 208: Plants: 908, Herbivores: 543, Carnivores: 271
Tick 209: Plants: 902, Herbivores: 551, Carnivores: 271
Tick 210: Plants: 878, Herbivores: 549, Carnivores: 281
